,CVE_DOC,FECHA_DOC,NOMBRE,NOMBRE.1,CANT,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
746,F38484,29/06/2022 00:00,ALFREDO CANELA,CHAMPIÑONES SAN MIGUEL,100,BOBINA002,BOBINA DSD CAL.17 12mmØx410mm 4000W 254V,$369.50,$18.14,$18.14,"$36,950","$1,813.59",$351.36,"$35,136.41"
781,F38543,07/07/2022 00:00,ALFREDO CANELA,ERIKA YUSSEL BLANCO CORTEZ,20,TEA00006,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",$355,$133.05,$133.05,"$7,100","$2,660.93",$221.95,"$4,439.07"
799,F38583,12/07/2022 00:00,ALFREDO CANELA,TE.MEX AUTOMOTIVE,54,CAS00083,CAS INOX 12.5MMØX125MM 300W 280V EXT1MT,$607.10,$0,$131.45,"$32,783.62","$7,098.51",$475.65,"$25,685.11"
800,F38583,12/07/2022 00:00,ALFREDO CANELA,TE.MEX AUTOMOTIVE,27,CAS00084,CAS INOX 12.5MMØX165MM 300W 280V EXT.1MT,$611.51,$0,$137.76,"$16,510.82","$3,719.48",$473.75,"$12,791.35"
832,F38638,21/07/2022 00:00,ALFREDO CANELA,CLAVOS NACIONALES C.N,30,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX,"$1,299.32",$429.81,$429.81,"$38,979.60","$12,894.24",$869.51,"$26,085.36"
841,F38646,22/07/2022 00:00,ALFREDO CANELA,OSANIA CLEANING & SANITIZING,21,TUA00464,"TUB INOX ALETADA 7/16""ØX26CM 950W277V U",$916.36,$0,$264.47,"$19,243.56","$5,553.86",$651.89,"$13,689.70"
875,F38711,29/07/2022 00:00,ALFREDO CANELA,DEACERO USA INC.,16,97020238,"TUBULAR ""U"" 11mmØx510mm 3kW 289/500W 3pz","$1,939",$0,$490.50,"$31,024","$7,848.04","$1,448.50","$23,175.96"
888,F38762,08/08/2022 00:00,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,30,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""","$1,475.30",$291.48,$291.48,"$44,259","$8,744.54","$1,183.82","$35,514.46"
890,F38763,08/08/2022 00:00,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,20,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""","$1,475.30",$290.21,$290.21,"$29,506","$5,804.18","$1,185.09","$23,701.82"
907,F38797,11/08/2022 00:00,ALFREDO CANELA,CLAVOS NACIONALES C.N,30,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX,"$1,299.32",$430.03,$430.03,"$38,979.60","$12,900.92",$869.29,"$26,078.68"
922,F38826,16/08/2022 00:00,ALFREDO CANELA,OSANIA CLEANING & SANITIZING,21,TUA00464,"TUB INOX ALETADA 7/16""ØX26CM 950W277V U",$916.36,$264.47,$264.47,"$19,243.56","$5,553.86",$651.89,"$13,689.70"
976,F38950,31/08/2022 00:00,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,20,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""","$1,475.30",$314.44,$314.44,"$29,506","$6,288.76","$1,160.86","$23,217.24"
997,F38998,07/09/2022 00:00,ALFREDO CANELA,DONGA HWASUNG MEXICO,20,PT00047,"PT-100 3/16""Øx3 1/2"" LONG EXT3MTS,3HILOS",$810,$313.65,$313.65,"$16,200","$6,273.10",$496.35,"$9,926.90"
1013,F39018,09/09/2022 00:00,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,20,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""","$1,475.30",$331.61,$331.61,"$29,506","$6,632.15","$1,143.69","$22,873.85"
1076,F39139,23/09/2022 00:00,ALFREDO CANELA,CARCOUSTICS INDUSTRIAL DE MEXICO,18,BS00006,BP S/BLINDA 300MMX698MM 2500W 230V 18BA,"$7,780",$816.73,"$1,743.86","$70,020","$16,025.97","$6,036.14","$53,994.03"
1077,F39139,23/09/2022 00:00,ALFREDO CANELA,CARCOUSTICS INDUSTRIAL DE MEXICO,18,BS00008,BP S/BLINDA 300MMX698MM 2000W 230V 18BA,"$7,780",$930.34,"$2,064.16","$70,020","$19,187.82","$5,715.84","$50,832.18"
1093,F39174,28/09/2022 00:00,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,30,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""","$1,475.30",$288.77,$288.77,"$44,259","$8,663.07","$1,186.53","$35,595.93"
1143,F39291,12/10/2022 00:00,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,20,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""","$1,475.30",$0,$315.51,"$29,506","$6,310.20","$1,159.79","$23,195.80"
1269,F39542,10/11/2022 00:00,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,20,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""","$1,475.30",$316.19,$316.19,"$29,506","$6,323.81","$1,159.11","$23,182.19"
1327,F39633,25/11/2022 00:00,ALFREDO CANELA,CARCOUSTICS INDUSTRIAL DE MEXICO,20,CBS00001,"CBS 90° 3/4""Øx39.9/16 2600W400V EXT. 55""","$1,800.18",$0,$592.18,"$36,003.60","$11,843.56","$1,208.00","$24,160.04"
1332,F39642,25/11/2022 00:00,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,20,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""","$1,475.30",$301.31,$301.31,"$29,506","$6,026.11","$1,173.99","$23,479.89"
1365,F39731,08/12/2022 00:00,ALFREDO CANELA,PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO,20,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""","$1,475.30",$315.59,$315.59,"$29,506","$6,311.82","$1,159.71","$23,194.18"
1403,F39810,22/12/2022 00:00,ALFREDO CANELA,DONGA HWASUNG MEXICO,16,CBS00109,"CBS INOX 5/8""ØX66CM 800W 480V EXT30CM","$1,981.88",$0,$333.62,"$31,710.08","$5,337.90","$1,648.26","$26,372.18"
